_id,cam_id,entry_count,timestamp
ObjectId(5ba9a9bbf15cbb1dcd8c03e7),201,3,2018-09-25 03:21:31
ObjectId(5ba9a9bdf15cbb1dcd8c03e8),202,3,2018-09-25 03:21:33
ObjectId(5ba9ab8ff15cbb1dcd8c049f),201,2,2018-09-25 03:29:19
ObjectId(5ba9ab9ef15cbb1dcd8c04a5),207,1,2018-09-25 03:29:34
ObjectId(5ba9ac58f15cbb1dcd8c04ef),179,1,2018-09-25 03:32:40
ObjectId(5ba9ac8ef15cbb1dcd8c0503),202,2,2018-09-25 03:33:34
ObjectId(5ba9ac9af15cbb1dcd8c0508),207,1,2018-09-25 03:33:46
ObjectId(5ba9ac9df15cbb1dcd8c0509),208,1,2018-09-25 03:33:49
ObjectId(5ba9ad55f15cbb1dcd8c0552),179,3,2018-09-25 03:36:53
ObjectId(5ba9ad57f15cbb1dcd8c0553),180,1,2018-09-25 03:36:55
ObjectId(5ba9ad85f15cbb1dcd8c0564),200,4,2018-09-25 03:37:41
ObjectId(5ba9ad88f15cbb1dcd8c0565),201,2,2018-09-25 03:37:44
ObjectId(5ba9ad99f15cbb1dcd8c056c),208,1,2018-09-25 03:38:01
ObjectId(5ba9ae51f15cbb1dcd8c05b5),179,4,2018-09-25 03:41:05
ObjectId(5ba9ae54f15cbb1dcd8c05b6),180,2,2018-09-25 03:41:08
ObjectId(5ba9ae84f15cbb1dcd8c05c8),201,2,2018-09-25 03:41:56
ObjectId(5ba9ae95f15cbb1dcd8c05cf),208,1,2018-09-25 03:42:13
ObjectId(5ba9ae98f15cbb1dcd8c05d0),209,2,2018-09-25 03:42:16
ObjectId(5ba9af39f15cbb1dcd8c0613),172,1,2018-09-25 03:44:57
ObjectId(5ba9af4df15cbb1dcd8c0618),179,2,2018-09-25 03:45:17
ObjectId(5ba9af50f15cbb1dcd8c0619),180,2,2018-09-25 03:45:20
ObjectId(5ba9af80f15cbb1dcd8c062b),201,3,2018-09-25 03:46:08
ObjectId(5ba9b04af15cbb1dcd8c067b),179,2,2018-09-25 03:49:30
ObjectId(5ba9b07ef15cbb1dcd8c068e),201,2,2018-09-25 03:50:22
ObjectId(5ba9b091f15cbb1dcd8c0696),209,1,2018-09-25 03:50:41
ObjectId(5ba9b12af15cbb1dcd8c06d7),169,1,2018-09-25 03:53:14
ObjectId(5ba9b132f15cbb1dcd8c06d9),172,1,2018-09-25 03:53:22
ObjectId(5ba9b146f15cbb1dcd8c06de),179,5,2018-09-25 03:53:42
ObjectId(5ba9b148f15cbb1dcd8c06df),180,1,2018-09-25 03:53:44
ObjectId(5ba9b17af15cbb1dcd8c06f1),201,1,2018-09-25 03:54:34
ObjectId(5ba9b17cf15cbb1dcd8c06f2),202,1,2018-09-25 03:54:36
ObjectId(5ba9b183f15cbb1dcd8c06f5),205,1,2018-09-25 03:54:43
ObjectId(5ba9b190f15cbb1dcd8c06fa),210,1,2018-09-25 03:54:56
ObjectId(5ba9b242f15cbb1dcd8c0741),179,2,2018-09-25 03:57:54
ObjectId(5ba9b244f15cbb1dcd8c0742),180,4,2018-09-25 03:57:56
ObjectId(5ba9b274f15cbb1dcd8c0753),200,1,2018-09-25 03:58:44
ObjectId(5ba9b277f15cbb1dcd8c0754),201,1,2018-09-25 03:58:47
ObjectId(5ba9b28af15cbb1dcd8c075c),209,4,2018-09-25 03:59:06
ObjectId(5ba9b325f15cbb1dcd8c079e),170,1,2018-09-25 04:01:41
ObjectId(5ba9b33ef15cbb1dcd8c07a4),179,3,2018-09-25 04:02:06
ObjectId(5ba9b370f15cbb1dcd8c07b6),200,1,2018-09-25 04:02:56
ObjectId(5ba9b372f15cbb1dcd8c07b7),201,1,2018-09-25 04:02:58
ObjectId(5ba9b46cf15cbb1dcd8c0819),200,1,2018-09-25 04:07:08
ObjectId(5ba9b46ff15cbb1dcd8c081a),201,1,2018-09-25 04:07:11
ObjectId(5ba9b483f15cbb1dcd8c0822),209,1,2018-09-25 04:07:31
ObjectId(5ba9b523f15cbb1dcd8c0865),172,1,2018-09-25 04:10:11
ObjectId(5ba9b536f15cbb1dcd8c086a),179,1,2018-09-25 04:10:30
ObjectId(5ba9b56af15cbb1dcd8c087c),200,1,2018-09-25 04:11:22
ObjectId(5ba9b56cf15cbb1dcd8c087d),201,1,2018-09-25 04:11:24
ObjectId(5ba9b57ef15cbb1dcd8c0884),208,1,2018-09-25 04:11:42
ObjectId(5ba9b581f15cbb1dcd8c0885),209,1,2018-09-25 04:11:45
ObjectId(5ba9b617f15cbb1dcd8c08c6),169,1,2018-09-25 04:14:15
ObjectId(5ba9b633f15cbb1dcd8c08cd),179,1,2018-09-25 04:14:43
ObjectId(5ba9b635f15cbb1dcd8c08ce),180,2,2018-09-25 04:14:45
ObjectId(5ba9b666f15cbb1dcd8c08df),200,4,2018-09-25 04:15:34
ObjectId(5ba9b668f15cbb1dcd8c08e0),201,3,2018-09-25 04:15:36
ObjectId(5ba9b670f15cbb1dcd8c08e3),204,11,2018-09-25 04:15:44
ObjectId(5ba9b673f15cbb1dcd8c08e4),205,1,2018-09-25 04:15:47
ObjectId(5ba9b67df15cbb1dcd8c08e8),209,2,2018-09-25 04:15:57
ObjectId(5ba9b72ff15cbb1dcd8c0930),179,1,2018-09-25 04:18:55
ObjectId(5ba9b731f15cbb1dcd8c0931),180,1,2018-09-25 04:18:57
ObjectId(5ba9b761f15cbb1dcd8c0942),200,1,2018-09-25 04:19:45
ObjectId(5ba9b76df15cbb1dcd8c0947),205,1,2018-09-25 04:19:57
ObjectId(5ba9b828f15cbb1dcd8c0993),179,1,2018-09-25 04:23:04
ObjectId(5ba9b85cf15cbb1dcd8c09a6),201,1,2018-09-25 04:23:56
ObjectId(5ba9b864f15cbb1dcd8c09a9),204,2,2018-09-25 04:24:04
ObjectId(5ba9b872f15cbb1dcd8c09ae),209,1,2018-09-25 04:24:18
ObjectId(5ba9b908f15cbb1dcd8c09f0),170,2,2018-09-25 04:26:48
ObjectId(5ba9b920f15cbb1dcd8c09f6),179,1,2018-09-25 04:27:12
ObjectId(5ba9b954f15cbb1dcd8c0a09),201,1,2018-09-25 04:28:04
ObjectId(5ba9b968f15cbb1dcd8c0a11),209,1,2018-09-25 04:28:24
ObjectId(5ba9b9fcf15cbb1dcd8c0a52),169,1,2018-09-25 04:30:52
ObjectId(5ba9b9fef15cbb1dcd8c0a53),170,2,2018-09-25 04:30:54
