_id,cam_id,entry_count,timestamp
ObjectId(5b9e59e2f15cbb1730c23d08),183,1,2018-09-16 13:25:54
ObjectId(5b9e65e8f15cbb39c99d130d),190,1,2018-09-16 14:17:12
ObjectId(5b9e7abff15cbb39c99d18d0),192,1,2018-09-16 15:46:07
ObjectId(5b9e81eef15cbb39c99d1b21),185,1,2018-09-16 16:16:46
ObjectId(5b9e83b9f15cbb39c99d1bc1),185,1,2018-09-16 16:24:25
ObjectId(5b9e8737f15cbb39c99d1d0d),183,1,2018-09-16 16:39:19
ObjectId(5b9e8749f15cbb39c99d1d13),191,1,2018-09-16 16:39:37
ObjectId(5b9e88f8f15cbb39c99d1db9),185,1,2018-09-16 16:46:48
ObjectId(5b9e8c6df15cbb39c99d1f0b),183,1,2018-09-16 17:01:33
ObjectId(5b9e8c71f15cbb39c99d1f0d),185,1,2018-09-16 17:01:37
ObjectId(5b9e8c88f15cbb39c99d1f15),195,2,2018-09-16 17:02:00
ObjectId(5b9e8fedf15cbb39c99d2060),184,1,2018-09-16 17:16:29
ObjectId(5b9e8feff15cbb39c99d2061),185,1,2018-09-16 17:16:31
ObjectId(5b9e91a8f15cbb39c99d2109),183,1,2018-09-16 17:23:52
ObjectId(5b9e91acf15cbb39c99d210b),185,1,2018-09-16 17:23:56
ObjectId(5b9e936bf15cbb39c99d21b3),183,1,2018-09-16 17:31:23
ObjectId(5b9e936ff15cbb39c99d21b5),185,1,2018-09-16 17:31:27
ObjectId(5b9e9530f15cbb39c99d225f),185,1,2018-09-16 17:38:56
ObjectId(5b9e96f0f15cbb39c99d2309),185,1,2018-09-16 17:46:24
ObjectId(5b9e9fb3f15cbb39c99d265b),185,1,2018-09-16 18:23:47
ObjectId(5b9ea502f15cbb39c99d285d),191,1,2018-09-16 18:46:26
ObjectId(5b9ea6b4f15cbb39c99d2903),185,1,2018-09-16 18:53:40
ObjectId(5b9ea883f15cbb39c99d29b1),191,1,2018-09-16 19:01:23
ObjectId(5b9eaa43f15cbb39c99d2a5b),191,2,2018-09-16 19:08:51
ObjectId(5b9eac04f15cbb39c99d2b05),191,1,2018-09-16 19:16:20
ObjectId(5b9eadc4f15cbb39c99d2baf),191,2,2018-09-16 19:23:48
ObjectId(5b9eb137f15cbb39c99d2cff),185,1,2018-09-16 19:38:31
ObjectId(5b9eb306f15cbb39c99d2dad),191,1,2018-09-16 19:46:14
ObjectId(5b9eb4b8f15cbb39c99d2e53),185,1,2018-09-16 19:53:28
ObjectId(5b9ebf3bf15cbb39c99d324f),185,2,2018-09-16 20:38:19
ObjectId(5b9ec47cf15cbb39c99d344d),185,2,2018-09-16 21:00:44
ObjectId(5b9ecefdf15cbb39c99d3848),184,2,2018-09-16 21:45:33
ObjectId(5b9ed7bff15cbb39c99d3b9a),184,1,2018-09-16 22:22:55
ObjectId(5b9edecdf15cbb39c99d3e48),192,1,2018-09-16 22:53:01
ObjectId(5b9ee77df15cbb39c99d4199),191,1,2018-09-16 23:30:05
ObjectId(5b9efe18f15cbb39c99d4a39),189,1,2018-09-17 01:06:32
